,ms
456,10639.65
457,10639.65
458,10639.65
459,10639.65
460,10639.65
461,10639.6
462,10639.6
463,10639.55
464,10639.55
465,10639.6
466,10639.55
467,10639.15
468,10639.1
469,10639.05
470,10639.05
471,10639.05
472,10639.05
473,10639.05
474,10639.05
475,10639.05
476,10639.05
477,10639.05
478,10639.05
479,10639.05
480,10639.05
481,10639.05
482,10639.05
483,10639.05
484,10639.05
485,10635.55
486,10635.45
487,10635.35
488,10635.3
489,10635.25
490,10635.2
491,10635.199
492,10635.3
493,10635.449
494,10635.35
495,10635.35
496,10635.25
497,10635.199
498,10635.199
499,10635.199
500,10635.35
501,10650.5
502,10650.05
503,10650.05
504,10650.05
505,10650.05
506,10650.05
507,10650.05
508,10650.05
509,10650.05
510,10650.05
511,10644.5
512,10643.55
513,10643.449
514,10640.1
515,10640.05
516,10640.0
517,10639.949
518,10639.949
519,10639.85
520,10639.85
521,10639.85
522,10639.85
523,10639.85
524,10639.85
525,10639.75
526,10639.75
527,10639.75
528,10639.699
529,10639.65
530,10639.6
531,10639.55
532,10639.15
533,10639.5
534,10639.5
535,10639.5
536,10639.449
537,10639.4
538,10639.35
539,10639.35
540,10639.35
541,10639.3
542,10639.3
543,10639.3
544,10639.25
545,10639.25
546,10639.4
547,10639.4
548,10639.4
549,10639.4
550,10639.4
551,10639.4
552,10643.699
553,10639.4
554,10639.4
555,10639.4
556,10639.4
557,10639.4
558,10639.4
559,10639.4
560,10639.4
561,10639.4
562,10643.449
563,10639.4
564,10639.4
565,10639.45
566,10639.45
567,10639.45
568,10639.45
569,10639.45
570,10639.45
571,10639.45
572,10643.25
573,10639.45
574,10639.45
575,10639.45
576,10639.45
577,10639.45
578,10639.45
579,10639.45
580,10639.45
581,10642.2
582,10642.2
583,10642.2
584,10642.2
585,10642.2
586,10642.2
587,10642.2
588,10642.2
589,10642.2
590,10643.801
591,10643.801
592,10643.801
593,10643.801
594,10643.801
595,10643.801
596,10643.801
597,10643.801
598,10643.801
599,10643.801
600,10643.801
601,10643.801
602,10643.801
603,10643.801
604,10643.801
605,10643.801
606,10643.801
607,10643.801
608,10643.801
609,10643.801
610,10643.801
611,10643.801
612,10643.801
613,10641.7
614,10641.7
615,10641.7
616,10641.7
617,10641.7
618,10641.7
619,10641.7
620,10641.7
621,10640.3
622,10640.3
623,10640.35
624,10640.35
625,10640.35
626,10641.65
627,10643.801
628,10655.699
629,10655.75
630,10659.45
631,10663.95
632,10663.95
633,10664.0
634,10669.05
635,10673.551
636,10673.9
637,10676.6
638,10676.6
639,10676.65
640,10676.65
641,10675.6
642,10676.05
643,10676.05
644,10683.4
645,10683.45
646,10683.5
647,10683.449
648,10683.4
649,10683.4
650,10683.35
651,10680.35
652,10678.85
653,10678.801
654,10678.801
655,10678.801
656,10678.801
657,10678.75
658,10678.801
659,10678.801
660,10678.801
661,10678.45
662,10678.45
663,10678.45
664,10678.45
665,10677.4
666,10678.45
667,10678.5
668,10678.5
669,10678.45
670,10678.45
671,10678.45
672,10678.5
673,10678.5
674,10678.5
675,10678.4
676,10675.65
677,10673.15
678,10673.05
679,10672.95
680,10673.05
681,10673.05
682,10670.5
683,10670.199
684,10670.25
685,10670.199
686,10670.35
687,10670.35
688,10670.4
689,10670.4
690,10670.35
691,10666.55
692,10666.449
693,10666.449
694,10666.55
695,10666.55
696,10670.8
697,10670.85
698,10671.05
699,10671.1
700,10671.1
701,10671.15
702,10671.3
703,10671.3
704,10671.35
705,10671.449
706,10672.4
707,10673.801
708,10673.801
709,10673.25
710,10671.6
711,10671.6
712,10671.6
713,10671.6
714,10671.6
715,10671.65
716,10671.65
717,10671.8
718,10672.65
719,10672.65
720,10672.65
721,10669.35
722,10669.35
723,10669.25
724,10669.25
725,10669.301
726,10669.85
727,10669.85
728,10669.85
729,10669.85
730,10669.85
731,10669.301
732,10669.301
733,10669.301
734,10669.301
735,10669.301
736,10671.7
737,10669.45
738,10671.9
739,10671.95
740,10672.0
741,10672.0
742,10672.0
743,10672.0
744,10672.0
745,10673.05
746,10673.05
747,10673.05
748,10673.05
749,10673.05
750,10673.1
751,10673.1
752,10673.1
753,10673.1
754,10673.1
755,10673.1
756,10673.1
757,10673.1
758,10673.05
759,10673.05
760,10673.05
761,10673.05
762,10673.05
763,10673.05
764,10673.05
765,10673.05
766,10673.05
767,10673.05
768,10673.05
769,10673.05
770,10673.05
771,10673.05
772,10673.0
773,10673.0
774,10673.0
775,10673.0
776,10673.05
777,10673.35
778,10673.35
779,10673.35
780,10673.4
781,10674.95
782,10674.95
783,10674.95
784,10674.95
785,10674.95
786,10674.95
787,10674.95
788,10674.95
789,10674.95
790,10674.95
791,10674.95
792,10674.95
793,10674.95
794,10674.95
795,10674.95
796,10674.95
797,10674.95
798,10674.95
799,10674.95
800,10674.95
801,10674.95
802,10674.95
803,10674.95
804,10674.95
805,10674.95
806,10674.95
807,10674.95
808,10674.95
809,10674.95
810,10674.95
811,10674.95
812,10674.95
813,10674.95
814,10674.95
815,10674.95
816,10674.95
817,10674.95
818,10674.95
819,10674.95
820,10674.95
821,10674.95
822,10677.5
823,10677.55
824,10677.55
825,10677.6
826,10677.65
827,10677.7
828,10677.7
829,10677.8
830,10677.8
831,10677.8
832,10678.1
833,10679.4
834,10679.4
835,10679.35
836,10679.35
837,10679.35
838,10679.4
839,10679.45
840,10679.5
841,10679.55
842,10679.55
843,10679.6
844,10679.95
845,10679.95
846,10679.95
847,10679.95
848,10679.95
849,10679.95
850,10679.95
851,10679.95
852,10679.95
853,10679.95
854,10679.95
855,10679.95
856,10679.95
857,10679.95
858,10679.95
859,10679.95
860,10679.95
861,10679.95
862,10679.95
863,10679.95
864,10679.95
865,10679.95
866,10679.95
867,10679.95
868,10679.95
869,10679.95
870,10679.95
871,10679.95
872,10679.95
873,10679.95
874,10679.95
875,10679.95
876,10679.95
877,10679.95
878,10677.7
879,10677.051
880,10675.35
881,10674.55
882,10674.55
883,10674.55
884,10678.05
885,10678.05
886,10678.05
887,10678.05
888,10678.05
889,10678.05
890,10678.05
891,10678.05
892,10678.05
893,10674.55
894,10674.55
895,10674.55
896,10674.55
897,10674.45
898,10674.5
899,10674.5
900,10674.5
901,10674.5
902,10674.45
903,10674.45
904,10674.4
905,10674.4
906,10674.1
907,10673.95
908,10674.1
909,10672.55
910,10672.55
911,10672.55
912,10672.5
913,10672.5
914,10672.5
915,10672.5
916,10672.5
917,10672.45
918,10672.45
919,10672.55
920,10676.95
921,10676.9
922,10676.9
923,10676.9
924,10676.85
925,10676.85
926,10676.85
927,10676.85
928,10676.8
929,10676.8
930,10676.8
931,10676.75
932,10676.75
933,10676.7
934,10676.7
935,10676.7
936,10676.65
937,10676.65
938,10676.6
939,10676.6
940,10676.6
941,10676.6
942,10676.6
943,10676.4
944,10676.35
945,10676.65
946,10677.0
947,10676.7
948,10676.7
949,10676.75
950,10676.75
951,10677.051
952,10678.1
953,10678.1
954,10678.1
955,10678.1
956,10678.551
957,10678.551
958,10678.551
959,10678.551
960,10678.551
961,10678.95
962,10678.551
963,10678.551
964,10678.551
965,10679.15
966,10679.15
967,10679.15
968,10679.15
969,10679.15
970,10679.15
971,10679.55
972,10679.15
973,10679.15
974,10679.15
975,10679.15
976,10679.15
977,10679.15
978,10679.15
979,10679.15
980,10679.15
981,10676.65
982,10679.15
983,10679.15
984,10679.15
985,10679.15
986,10679.15
987,10679.15
988,10679.15
989,10680.2
990,10682.25
991,10680.1
992,10680.1
993,10680.1
994,10680.1
995,10680.05
996,10680.05
997,10680.05
998,10680.05
999,10680.1
1000,10680.05
1001,10682.05
1002,10682.05
1003,10682.1
1004,10682.1
1005,10682.05
1006,10682.0
1007,10682.6
1008,10682.45
1009,10682.45
1010,10682.8
1011,10683.8
1012,10685.3
1013,10685.3
1014,10685.3
1015,10686.2
1016,10686.2
1017,10686.2
1018,10686.2
1019,10686.2
1020,10686.2
1021,10686.15
1022,10686.15
1023,10686.1
1024,10689.2
1025,10692.5
1026,10695.199
1027,10695.199
1028,10695.25
1029,10696.949
1030,10697.15
1031,10697.2
1032,10697.25
1033,10702.551
1034,10711.45
1035,10713.95
1036,10713.95
1037,10713.95
1038,10712.85
1039,10715.45
1040,10716.15
1041,10715.35
1042,10715.35
1043,10709.1
1044,10710.05
1045,10710.35
1046,10708.6
1047,10708.551
1048,10708.55
1049,10708.15
1050,10708.1
1051,10708.051
1052,10706.95
1053,10706.95
1054,10706.95
1055,10706.9
1056,10706.95
1057,10706.95
1058,10706.95
1059,10706.95
1060,10706.9
1061,10706.9
1062,10706.85
1063,10706.9
1064,10706.9
1065,10706.9
1066,10703.95
1067,10703.05
1068,10703.05
1069,10703.25
1070,10703.3
1071,10703.5
1072,10703.55
1073,10703.05
1074,10703.05
1075,10703.0
1076,10702.9
1077,10702.9
1078,10702.9
1079,10702.9
1080,10702.9
1081,10702.85
1082,10702.75
1083,10702.75
1084,10702.7
1085,10702.7
1086,10702.75
1087,10702.7
1088,10702.75
1089,10702.75
1090,10702.8
1091,10701.55
1092,10701.55
1093,10701.5
1094,10701.5
1095,10701.45
1096,10701.45
1097,10701.4
1098,10701.449
1099,10701.4
1100,10701.4
1101,10701.35
1102,10701.35
1103,10700.25
1104,10700.25
1105,10701.25
1106,10701.25
1107,10701.4
1108,10701.65
1109,10705.1
1110,10706.35
1111,10705.15
1112,10705.2
1113,10705.2
1114,10705.55
1115,10705.6
1116,10705.75
1117,10703.55
1118,10703.55
1119,10703.65
1120,10703.7
1121,10704.05
1122,10704.05
1123,10704.05
1124,10704.05
1125,10704.05
1126,10704.05
1127,10704.1
1128,10704.15
1129,10704.55
1130,10704.6
1131,10709.65
1132,10709.35
1133,10709.4
1134,10709.449
1135,10705.5
1136,10705.55
1137,10705.6
1138,10705.65
1139,10715.199
1140,10711.25
1141,10711.199
1142,10711.25
1143,10711.15
1144,10705.65
1145,10705.449
1146,10705.55
1147,10712.0
1148,10712.0
1149,10712.0
1150,10711.7
1151,10711.75
1152,10709.949
1153,10710.0
1154,10710.05
1155,10710.05
1156,10710.4
1157,10710.4
1158,10710.199
1159,10710.25
1160,10708.25
1161,10708.2
1162,10709.0
1163,10709.0
1164,10709.0
1165,10709.0
1166,10709.0
1167,10709.6
1168,10710.051
1169,10711.5
1170,10711.55
1171,10711.6
1172,10711.4
1173,10711.301
1174,10711.6
1175,10711.55
1176,10711.55
1177,10711.55
1178,10711.65
1179,10711.7
1180,10711.75
1181,10711.75
1182,10711.75
1183,10711.65
1184,10711.7
1185,10711.75
1186,10711.7
1187,10711.65
1188,10711.5
1189,10711.5
1190,10711.6
1191,10711.4
1192,10711.4
1193,10710.9
1194,10710.85
1195,10711.0
1196,10711.0
1197,10711.0
1198,10710.8
1199,10710.85
